ticker,has_fundamentals,fundamentals_ready,missing_fundamentals_fields,source,updated_at
GSHD,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.307713+00:00
GSHR,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.308061+00:00
GSIT,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.308417+00:00
GSIW,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.308767+00:00
GSM,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.309120+00:00
GSRF,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.309468+00:00
GSUN,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.309819+00:00
GT,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.310165+00:00
GTBP,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.310515+00:00
GTEC,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.310867+00:00
GTEN,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.311561+00:00
GTERA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.311929+00:00
GTIM,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.312279+00:00
GTLB,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.312628+00:00
GTM,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.312974+00:00
