Month,Rank,Ticker,CompanyName,Theme,Sector,FinalState,SetupStatus,PrimaryPurpose,CompositeScore,MomentumScore,QualityScore,ValuationContextScore,RiskPenalty,LiquidityScore,TechnicalContextScore,MAStackStatus,RSI14,VolumeTrend,Reason,MissingDataFields,SourceFiles,GeneratedAt
2026-03,1,NVDA,,AI Semiconductors,SMH,Review Thesis,Avoid,Momentum Leader,52.98,61.52,100.0,0.0,43.0,56.76,46.08,Short-term constructive,100.0,Normal,"Composite score uses transparent local components: momentum 61.52, final-state 48.00, quality 100.00, valuation 0.00, liquidity 56.76. Risk penalty is 43.0. This row is a research candidate, not a trade instruction. Base score 45 from final state `Review Thesis`. Added 3 points because the ticker is already a holding. Adjusted +0 points for value category `Insufficient Data`. Subtracted 8 points because the current setup is `Avoid`. Missing or incomplete fields reduced confidence: EPSGrowth, EVToEBITDA, EVToSales, FCFMargin, FCFYield, ForwardPE, GrossMargin, OperatingMargin, PriceToFCF, Return12M, Return3M, Return6M.","EPSGrowth, EVToEBITDA, EVToSales, FCFMargin, FCFYield, ForwardPE, GrossMargin, OperatingMargin, PriceToFCF, Return12M, Return3M, Return6M","outputs/final_watchlist.csv, outputs/momentum_leaders.csv, outputs/undervalued_candidates.csv, data/universe.csv, data/fundamentals.csv, data/prices.csv",2026-05-12T18:04:38.411680+00:00
2026-03,2,QQQ,,Nasdaq 100 ETF,QQQ,Setup Forming,Setup Forming,ETF / Defensive / Hedge,46.84,66.93,,,6.0,54.21,45.81,Short-term constructive,100.0,Normal,"Composite score uses transparent local components: momentum 66.93, final-state 76.00, quality Not available, valuation Not available, liquidity 54.21. Risk penalty is 6.0. This row is a research candidate, not a trade instruction. Base score 68 from final state `Setup Forming`. Adjusted +0 points for value category `Insufficient Data`. Missing or incomplete fields reduced confidence: Return12M, Return3M, Return6M, fundamentals unavailable.","Return12M, Return3M, Return6M, fundamentals unavailable","outputs/final_watchlist.csv, outputs/momentum_leaders.csv, outputs/undervalued_candidates.csv, data/universe.csv, data/fundamentals.csv, data/prices.csv",2026-05-12T18:04:38.411680+00:00
2026-03,3,TSLA,,EV / AI / Robotics,QQQ,Review Thesis,Avoid,Core Compounder,25.38,15.28,42.86,0.0,51.0,59.43,24.47,Not enough moving-average history,0.0,Normal,"Composite score uses transparent local components: momentum 15.28, final-state 48.00, quality 42.86, valuation 0.00, liquidity 59.43. Risk penalty is 51.0. This row is a research candidate, not a trade instruction. Base score 45 from final state `Review Thesis`. Added 3 points because the ticker is already a holding. Adjusted +0 points for value category `Insufficient Data`. Subtracted 8 points because the current setup is `Avoid`. Missing or incomplete fields reduced confidence: EPSGrowth, EVToEBITDA, EVToSales, FCFMargin, FCFYield, ForwardPE, GrossMargin, OperatingMargin, PriceToFCF, Return12M, Return3M, Return6M.","EPSGrowth, EVToEBITDA, EVToSales, FCFMargin, FCFYield, ForwardPE, GrossMargin, OperatingMargin, PriceToFCF, Return12M, Return3M, Return6M","outputs/final_watchlist.csv, outputs/momentum_leaders.csv, outputs/undervalued_candidates.csv, data/universe.csv, data/fundamentals.csv, data/prices.csv",2026-05-12T18:04:38.411680+00:00
2026-03,4,META,,AI / Ads / Platforms,QQQ,Review Thesis,Avoid,Core Compounder,3.2,0.0,,,35.5,,,Not enough moving-average history,,Not available,"Composite score uses transparent local components: momentum 0.00, final-state 48.00, quality Not available, valuation Not available, liquidity Not available. Risk penalty is 35.5. This row is a research candidate, not a trade instruction. Base score 45 from final state `Review Thesis`. Added 3 points because the ticker is already a holding. Adjusted +0 points for value category `Insufficient Data`. Subtracted 8 points because the current setup is `Avoid`. Missing or incomplete fields reduced confidence: AvgVolume20D, RSPercentile, Return12M, Return1M, Return3M, Return6M, fundamentals unavailable.","AvgVolume20D, RSPercentile, Return12M, Return1M, Return3M, Return6M, fundamentals unavailable","outputs/final_watchlist.csv, outputs/momentum_leaders.csv, outputs/undervalued_candidates.csv, data/universe.csv, data/fundamentals.csv, data/prices.csv",2026-05-12T18:04:38.411680+00:00
