ticker,theme,sector,pe_ratio,revenue_growth,profit_margin,debt_to_equity,revenue,eps,free_cash_flow,fcf,fcf_margin,operating_margin,gross_margin,ebitda,cash,debt,net_debt,shares_outstanding,trailing_pe,forward_pe,price_to_book,market_cap,enterprise_value,source,as_of_date,sec_cik,sec_form,sec_filed_date,sec_accession,sec_fact_warnings,sec_entity_name,period,net_income,updated_at
NVDA,AI Infrastructure,Technology,34.0,0.654735357900948,0.5560253406070261,0.4,215938000000.0,4.9,96676000000.0,,0.4477025812964832,0.6038168363141272,,,13237000000.0,8470000000.0,,24200000000.0,,,,,,sec_companyfacts,2026-01-25,1045810,10-K,2026-02-25,0001045810-26-000021,EBITDA was not staged because no direct SEC EBITDA fact was available.,NVIDIA CORP,,,
MSFT,Enterprise Software,Technology,31.0,3.071978270710729,1.1320956086714842,0.5,89950000000.0,13.64,71611000000.0,,0.7961200667037243,1.4288827126181212,,,32105000000.0,40262000000.0,,7428434704.0,,,,,,sec_companyfacts,2017-06-30,789019,10-K,2017-08-02,0001564590-17-014900,EBITDA was not staged because no direct SEC EBITDA fact was available.,MICROSOFT CORPORATION,,,
TSLA,EV,Consumer Discretionary,48.0,-0.0293069915037363,0.040009701878157,0.2,94827000000.0,1.08,6220000000.0,,0.0655931327575479,0.0459257384500195,,,16603000000.0,648441000.0,,3755723871.0,,,,,,sec_companyfacts,2025-12-31,1318605,10-K,2026-01-29,0001628280-26-003952,EBITDA was not staged because no direct SEC EBITDA fact was available.,"Tesla, Inc.",,,
SPY,Broad Market,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QQQ,Nasdaq Growth,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLF,Financials,ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,,,,2.2434570906877664,0.8134734471758304,,5329000000.0,2.65,6735000000.0,,1.2638393694877088,0.6931882154250328,,,5585000000.0,4098000000.0,,1630600639.0,,,,,,sec_companyfacts,2017-12-30,2488,10-K,2018-02-27,0000002488-18-000042,EBITDA was not staged because no direct SEC EBITDA fact was available.,ADVANCED MICRO DEVICES INC,,,
AVGO,,,,3.117716768714201,0.2827609363008442,,20848000000.0,4.77,26914000000.0,,1.2909631619339983,1.2223714504988488,,,14174000000.0,66057000000.0,,4734668184.0,,,,,,sec_companyfacts,2018-11-04,1730168,10-K,2018-12-21,0001730168-18-000084,EBITDA was not staged because no direct SEC EBITDA fact was available.,Broadcom Inc.,,,
COHR,,,,2.931500342667924,0.0425994611639342,,1158794000.0,-0.52,192764000.0,,0.1663488074670735,0.0829491695676712,,,1592730000.0,3193781000.0,,195639321.0,,,,,,sec_companyfacts,2018-06-30,820318,10-K,2018-08-28,0001564590-18-022409,EBITDA was not staged because no direct SEC EBITDA fact was available.,COHERENT CORP.,,,
CRDO,,,,1.263434730787169,0.1194734130845401,,436775000.0,0.29,29022000.0,,0.0664461106977276,0.0849957071718848,,,1220464000.0,,,184449940.0,,,,,,sec_companyfacts,2025-05-03,1807794,10-K,2025-07-02,0001628280-25-033813,Debt was unavailable from SEC Companyfacts. | EBITDA was not staged because no direct SEC EBITDA fact was available.,Credo Technology Group Holding Ltd,,,
HOOD,,,,0.515757370382921,0.4209702660406886,,4473000000.0,2.05,1610000000.0,,0.3599374021909233,,,,5012000000.0,,,791184698.0,,,,,,sec_companyfacts; sec_filing_document,2026-04-06,1783879,10-Q,2026-04-29,0001783879-26-000062,Debt was unavailable from SEC Companyfacts. | EBITDA was not staged because no direct SEC EBITDA fact was available. | Shares outstanding was unavailable from SEC Companyfacts. | Shares outstanding staged from explicit SEC filing document fact dei:EntityCommonStockSharesOutstanding.,"Robinhood Markets, Inc.",,,2026-06-26T01:38:24+00:00
LITE,,,,-0.0653730653730653,0.0640138408304498,,404600000.0,0.37,-104700000.0,,-0.2587740978744439,-0.4451309935739001,,,2617800000.0,6520400000.0,,77800000.0,,,,,,sec_companyfacts,2019-06-29,1633978,10-K,2019-08-27,0001633978-19-000069,EBITDA was not staged because no direct SEC EBITDA fact was available.,Lumentum Holdings Inc.,,,
META,,,,0.2216703849824621,0.3008369574952977,,200966000000.0,23.49,46109000000.0,,0.2294368201586338,0.4143785515957923,,,23426000000.0,58748000000.0,,2196045588.0,,,,,,sec_companyfacts; sec_filing_document,2026-03-09,1326801,10-Q,2026-04-30,0001628280-26-028526,EBITDA was not staged because no direct SEC EBITDA fact was available. | Shares outstanding was unavailable from SEC Companyfacts. | Shares outstanding staged from explicit SEC filing document fact dei:EntityCommonStockSharesOutstanding.,"Meta Platforms, Inc.",,,2026-06-26T01:41:27+00:00
MU,,,,2.897781197896627,0.2809713401994011,,30391000000.0,7.59,1668000000.0,,0.0548846698035602,0.3214767529860814,,,13908000000.0,3624000000.0,,1127734051.0,,,,,,sec_companyfacts,2018-08-30,723125,10-K,2018-10-15,0000723125-18-000092,EBITDA was not staged because no direct SEC EBITDA fact was available.,MICRON TECHNOLOGY INC,,,
AAPL,,,,3.9862949403923778,0.42173233682863,,265595000000.0,7.46,98767000000.0,,0.3718707053973155,0.5009506956079746,,,45572000000.0,82714000000.0,,14687356000.0,,,,,,sec_companyfacts,2018-09-29,320193,10-K,2018-11-05,0000320193-18-000145,EBITDA was not staged because no direct SEC EBITDA fact was available.,Apple Inc.,,,
GOOGL,,,,0.1509008108154437,0.3280987796522654,,402836000000.0,10.81,73266000000.0,,0.1818755026859565,0.3203263859238002,,,38063000000.0,79499000000.0,,5824000000.0,,,,,,sec_companyfacts; sec_filing_document,2026-03-16,1652044,10-Q,2026-04-30,0001652044-26-000048,EBITDA was not staged because no direct SEC EBITDA fact was available. | Shares outstanding was unavailable from SEC Companyfacts. | Shares outstanding staged from explicit SEC filing document fact dei:EntityCommonStockSharesOutstanding.,Alphabet Inc.,,,2026-06-26T01:36:19+00:00
A,,,,0.0642551166111375,0.2913685152057245,,4472000000.0,4.57,1152000000.0,,0.257602862254025,0.3307245080500894,,,1758000000.0,3034000000.0,,282602317.0,,,,,,sec_companyfacts,2017-10-31,1090872,10-K,2017-12-21,0001090872-17-000018,EBITDA was not staged because no direct SEC EBITDA fact was available.,"AGILENT TECHNOLOGIES, INC.",,,
ABBV,,,,0.0856676252352043,0.0690974493132766,,61160000000.0,2.36,17816000000.0,,0.2913015042511445,0.2464846304774362,,,9391000000.0,0.0,,1766792821.0,,,,,,sec_companyfacts,2025-12-31,1551152,10-K,2026-02-20,0001551152-26-000008,EBITDA was not staged because no direct SEC EBITDA fact was available.,AbbVie Inc.,,,
